comparison,metric,n_paired_seeds,baseline_mean,comparator_mean,mean_difference,difference_std,ci95_low,ci95_high,paired_t_p_value,seed_differences
prototype_separation_minus_baseline,accuracy,3,0.8917641622140385,0.9289131519373438,0.037148989723305346,0.02151550904729633,-0.016298497687926537,0.09059647713453722,0.09598414709925981,42:0.0132505;43:0.0432191;44:0.0549774
prototype_separation_minus_baseline,macro_f1,3,0.6243919095598071,0.6686163449411361,0.044224435381329065,0.008121313596648217,0.02404997400719453,0.06439889675546359,0.011054986627325552,42:0.0373254;43:0.0421732;44:0.0531747
prototype_separation_minus_baseline,ece,3,0.07544205194754129,0.0477611183573265,-0.0276809335902148,0.022178951470033605,-0.08277650334332293,0.027414636162893337,0.16316841187955783,42:-0.0118262;43:-0.0181906;44:-0.053026
prototype_separation_minus_baseline,vtvf_cross_errors,3,194.66666666666666,179.33333333333334,-15.333333333333334,10.263202878893768,-40.828542647821955,10.161875981155285,0.12249526722600694,42:-24;43:-4;44:-18
prototype_separation_minus_baseline,total_errors,3,474.0,313.6666666666667,-160.33333333333334,90.27919657004782,-384.599290116731,63.93262345006431,0.09142204940451246,42:-64;43:-174;44:-243
full_supervisor_minus_baseline,accuracy,3,0.8917641622140385,0.9250628354125063,0.03329867319846783,0.022539251848406463,-0.02269193231210314,0.0892892787090388,0.12477319428944533,42:0.00973085;43:0.0546448;44:0.0355204
full_supervisor_minus_baseline,macro_f1,3,0.6243919095598071,0.6601852954635402,0.0357933859037333,0.031255851147074645,-0.04185045264260746,0.11343722445007406,0.18576750713074622,42:0.018457;43:0.0718754;44:0.0170478
full_supervisor_minus_baseline,ece,3,0.07544205194754129,0.05806237248959134,-0.017379679457949965,0.012973940825382245,-0.04960873513189981,0.014849376215999882,0.1461123951032366,42:-0.00253253;43:-0.0230727;44:-0.0265338
full_supervisor_minus_baseline,vtvf_cross_errors,3,194.66666666666666,186.0,-8.666666666666666,15.37313674346694,-46.855655398534296,29.522322065200967,0.431821220812156,42:-16;43:-19;44:9
full_supervisor_minus_baseline,total_errors,3,474.0,332.6666666666667,-141.33333333333334,87.55760008893193,-358.83846966190777,76.17180299524111,0.1076630166576569,42:-47;43:-220;44:-157
