burden,all_error_capture_mean,all_error_capture_std,vtvf_error_capture_mean,vtvf_error_capture_std,auto_error_rate_mean,auto_error_rate_std,auto_vtvf_error_rate_mean,auto_vtvf_error_rate_std,review_error_enrichment_mean,review_error_enrichment_std,test_error_auroc_mean,test_error_auroc_std,test_vtvf_error_auroc_mean,test_vtvf_error_auroc_std,test_risk_target_spearman_mean,test_risk_target_spearman_std
0.05,0.3764434521555961,0.16631356011014495,0.5209457917309651,0.32455990485485164,0.038384780430773466,0.024027780951584397,0.0213221534019041,0.018079864871873724,7.531798155886111,3.3375303349005523,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
0.1,0.7017522984539477,0.27328183070733786,0.8281507938941179,0.2729796712600084,0.021461806933623765,0.02593823210350237,0.008576574805858333,0.014138035453405355,7.0156164043604266,2.727126153881263,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
0.15,0.8255580002206688,0.18214263258891525,0.9430051813471502,0.09871792167491018,0.013649214651896868,0.01782641337722791,0.0030855539971949334,0.005344336292638861,5.503915534786046,1.2145610351657938,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
0.2,0.9023623109080381,0.13311761802050753,1.0,0.0,0.008633726634873367,0.01317873215308311,0.0,0.0,4.5119442868066635,0.6665286669097574,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
0.25,0.9355444932656326,0.09629582142684098,1.0,0.0,0.006249042300096999,0.010004543948610512,0.0,0.0,3.743294167652112,0.3847511007749545,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
0.3,0.9439785879066239,0.08722865410392014,1.0,0.0,0.005907813172649233,0.00963210704287946,0.0,0.0,3.1465521164737074,0.29033519172935296,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
0.4,0.9592476489028213,0.0705851426281987,1.0,0.0,0.005166931637519867,0.008949388115419466,0.0,0.0,2.3981620561630437,0.17695334677541788,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
0.5,0.9696969696969697,0.05248638810814775,1.0,0.0,0.004609759974566833,0.007984338486647171,0.0,0.0,1.9393939393939394,0.10497277621629578,0.9214724811754454,0.06709142300847015,0.9596049291724964,0.031851978637171555,0.7520332091222012,0.17526375097228164
