version,accuracy,macro_f1,nll,macro_sensitivity,macro_specificity,ece,silhouette_full,silhouette_pca2,sr_vt_norm_dist,sr_vf_norm_dist,vt_vf_norm_dist
CNN-10,0.9236024844720497,0.7162760194548515,0.21237022217315552,0.7789725981180867,0.9543109143888678,0.016209853682705617,0.3570426106452942,0.35204148292541504,2.488882064819336,3.2547342777252197,0.8995909094810486
TCN-20,0.8859213250517598,0.6602816526163262,0.2358892464972907,0.7456658961316226,0.931104044480223,0.02330866902758124,0.39524492621421814,0.3871608376502991,2.491255521774292,3.2852511405944824,0.7981785535812378
ResNet1D-12,0.9244306418219461,0.67301680935606,0.408832583504413,0.7395389334557404,0.9468707162221573,0.059621636776203496,0.44827231764793396,0.44417858123779297,2.1097612380981445,2.8452088832855225,0.8865834474563599
InceptionTime-12,0.9387163561076605,0.7405630303050872,0.18868735089381605,0.7576285767657022,0.946432399569046,0.01350679919586416,0.3892328441143036,0.39473602175712585,2.436480760574341,3.1564292907714844,0.8803549408912659
BiGRU-12,0.8188405797101449,0.5343199912889197,0.37836550685948145,0.6738853878488197,0.914045031438769,0.09543037777361658,0.4914107620716095,0.49849531054496765,2.9661595821380615,4.613987922668457,0.6056453585624695
RegularityFusion-12,0.9161490683229814,0.6907051741758138,0.19907635559462994,0.7521258773587407,0.9464348484210389,0.030178447990190385,0.27408334612846375,0.24355939030647278,2.2004482746124268,3.0131101608276367,0.961357057094574
GatedFusion-12,0.9490683229813665,0.7749643401420915,0.2245395691695499,0.7834189982030705,0.9443042436289567,0.0285423683392088,0.5587394833564758,0.6441335678100586,2.0453264713287354,2.7319164276123047,0.7035289406776428
GatedFusion-GateTarget,0.9082815734989648,0.6880662384190424,0.2840288478307116,0.7594613033964048,0.9461137136800625,0.04274851805675107,0.5332931876182556,0.5828705430030823,2.51263165473938,3.2980172634124756,0.7129375338554382
GatedFusion-BoundaryOnly,0.9279503105590062,0.7011781984816875,0.22201894515107562,0.7556051012651156,0.954777805644687,0.027090943538377515,0.4191827178001404,0.5057870149612427,2.0780036449432373,2.7466766834259033,0.8043139576911926
