candidate,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,ece_mean,ece_std,vtvf_cross_errors_mean,vtvf_cross_errors_std,total_errors_mean,total_errors_std,error_migration_penalty_mean,error_migration_penalty_std
baseline,0.8917641622140385,0.03891588952835652,0.6243919095598071,0.08574529137898906,0.07544205194754129,0.035858733453110185,194.66666666666666,25.482019804821856,474.0,162.24980739587951,304.3333333333333,53.7362385484259
boundary075,0.9235709729315866,0.012389172690636451,0.6474008671745439,0.07703723252746109,0.06018703110145613,0.011178735544412498,192.0,22.64950330581225,336.6666666666667,49.742671151973056,226.83333333333334,7.2341781380702335
boundary075_prototype,0.9235107296236809,0.04237271855795322,0.667337317620424,0.11341164195115104,0.057129907815003135,0.04115913001307542,174.33333333333334,7.371114795831998,339.0,188.84120313109636,219.33333333333334,55.644706247165445
proto_center_only,0.933242252602028,0.021281573326443367,0.671462304192472,0.08840011627214296,0.051078525572286,0.021859419521284874,174.0,22.538855339169288,296.0,98.19877799647,195.0,29.92908284595437
proto_center_margin,0.9289131519373438,0.019233864967204202,0.6686163449411361,0.07769659593127737,0.0477611183573265,0.01458930221299988,179.33333333333334,18.58314648635514,313.6666666666667,84.88423489278402,210.33333333333334,13.382202110763881
boundary075_center,0.9179493671674294,0.028968370625577312,0.6553132138321875,0.10218246241914147,0.06211794043428346,0.028307977712532063,176.66666666666666,3.5118845842842465,359.6666666666667,121.45918381634768,233.5,38.00986713999406
boundary075_margin,0.9183673530220844,0.02081244901822994,0.6470093859938589,0.07766337672191279,0.0658626273654294,0.020449423744873737,171.0,45.0,359.6666666666667,89.53956295031449,216.16666666666666,16.62327685305557
boundary100_center,0.9294921961560676,0.016039530677416577,0.6658065688678131,0.06301872855375071,0.04485601760285024,0.010155071617037345,190.66666666666666,42.71221527073178,315.0,89.26925562588724,224.0,57.92883565203085
boundary075_contrastive,0.9136927940059884,0.03453128902769994,0.6331957552750059,0.07568710242769808,0.06975026440624961,0.025178136670484588,209.0,45.43126676640219,382.6666666666667,156.31485320766333,259.5,49.6764531745172
boundary075_center_calibrated,0.906682731176463,0.028073313644438894,0.6298594586016906,0.08497410697071602,0.061531803514068895,0.017632633199821085,198.33333333333334,29.399546481762833,409.6666666666667,116.60331613351883,270.6666666666667,34.77547028198659
boundary050_center,0.9096859089647653,0.05933469023450638,0.6434428868496963,0.12893610238817013,0.06707641269005293,0.047025464834721746,181.0,18.24828759089466,399.6666666666667,263.06716506119375,249.0,89.95554457619608
proto_margin_only,0.9016434985639631,0.02509566869955051,0.6263239382864554,0.08271593949948451,0.06838528119400443,0.024582047766976596,194.66666666666666,25.482019804821856,430.3333333333333,92.00724609145378,277.5,18.027756377319946
