split,class,windows,records,percent_within_split
train,SR,11364,306,0.8991929102706124
train,VT,541,23,0.04280740623516379
train,VF,733,27,0.05799968349422377
val,SR,3811,87,0.8331875819851333
val,VT,373,11,0.0815478793178837
val,VF,390,21,0.08526453869698294
test,SR,4159,95,0.8610766045548655
test,VT,506,12,0.10476190476190476
test,VF,165,12,0.034161490683229816
